Replacement,Original
I,i
I'm,i'm
I've,i've
I'll,i'll
I'd,i'd
Monday,monday
Mondays,mondays
Tuesday,tuesday
Tuesdays,tuesdays
Wednesday,wednesday
Wednesdays,wednesdays
Thursday,thursday
Thursdays,thursdays
Friday,friday
Fridays,fridays
Saturday,saturday
Saturdays,saturdays
Sunday,sunday
Sundays,sundays
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
adherence,adherents
allow,alow
allowlist,allow list
an,anne
AppleScript,applescript
Arq,arc
Arvind,arvind
Bar-Shain,Barchan
birth,berth
births,berths
calendar,calender
can't,cant
can't,cot
can't,kant
Canto,canto
catalog,catalogue
catch up,catchup
Cardhop,card hop
Cardhop,cart up
Catalyst,catalyst
Consolas,consoles
console,consul
column,callum
column,call him
comment,comet
copy edit,copyedit
core,corps
core,kor
cosign,cosine
COVID,cod
debugging,the bugging
dialog,dialogue
discrete,discreet
discussed,disgust
done,don
Dr.,doctor
Dr.,dor
Dr.,door
dual,duel
due,de
due,dieu
due,dou
Eileen,Aileen
Ellen,ellen
encounter,and counter
end,en
Epic,epic
Epic-wide,epic wide
Eric,eric
Ethernet,ethernet
Fantastical,fantastical
for,four
Giva,jiva
grouper,group her
grouper,grew her
Haiku,haiku
handle,handel
hi,high
high-dose,hi dos
high-dose,hi dose
high-dose,high dose
Homerow,home row
HomeKit,homekit
Hyperdrive,hyperdrive
ID,id
IDs,ids
inpatient,impatient
inpatients,impatience
iPad,ipad
iPhone,iphone
Jenn,jan
Jupyter,jupiter
Karla,Carla
Kathee,cathy
Kathee,Kathy
key press,keypress
Kim,kim
lead,led
lung cancer,long cancer
Mac,mac
MacBook,macbook
Mary,mary
Medicaid,medicaid
menu bar,menubar
merge,merch
Metro,metro
MIV,miv
MyChart,my chart
navigator,navigate her
Nicholas,nicholas
Nicholas,nickolas
Nicholas,nicolas
none,nun
OK,ok
OK,okay
OmniFocus,omnifocus
On-Call Finder,on call finder
on slow,Onslow
Outlook,outlook
patients,patience
pool,pul
program,programme
prose,pros
questionnaire,question your
queue,cu
Raj,raj
rect,wrecked
reset,we said
Riley,rightly
Riley,riley
rule-based,rule based
Seamon,seamen
Sellers,sellers
sensor,censor
SharePoint,sharepoint
Shirley,surely
Siemens,seamens
site,sight
sites,sights
slicer,slice her
sync,sink
Talon,halen
Talon,talen
Talon,talon
Talon,Tallon
the,thee
the,thy
to,too
UniFi,unified
UniFi,unify
urine,your in
urine,you're in
user,use her
user,use our
venous,venus
versus,verses
where,ware
where,wear
Windows,windows
Xcode,x code
zombie,zombi
